"01"	"1"	"247249719"
"02"	"1"	"242951149"
"03"	"1"	"199501827"
"04"	"1"	"191273063"
"05"	"1"	"180857866"
"06"	"1"	"170899992"
"07"	"1"	"158821424"
"08"	"1"	"146274826"
"09"	"1"	"140273252"
"10"	"1"	"135374737"
"11"	"1"	"134452384"
"12"	"1"	"132349534"
"13"	"1"	"114142980"
"14"	"1"	"106368585"
"15"	"1"	"100338915"
"16"	"1"	"88827254"
"17"	"1"	"78774742"
"18"	"1"	"76117153"
"19"	"1"	"63811651"
"20"	"1"	"62435964"
"21"	"1"	"46944323"
"22"	"1"	"49691432"
"M"	"1"	"16569"
"X"	"1"	"154913754"
"Y"	"1"	"57227415"
